Squad,Median Standard SoT/90,Mean Standard SoT/90,StdDev Standard SoT/90,Median Standard G/Sh,Mean Standard G/Sh,StdDev Standard G/Sh,Median Standard Dist,Mean Standard Dist,StdDev Standard Dist,Median Tackles Tkl,Mean Tackles Tkl,StdDev Tackles Tkl,Median Tackles TklW,Mean Tackles TklW,StdDev Tackles TklW,Median Blocks,Mean Blocks,StdDev Blocks
Arsenal,0.225,0.41090909090909095,0.4100512057560511,0.14,0.13666666666666666,0.13035848009751164,15.0,14.671428571428573,4.998714120365642,19.0,24.09090909090909,20.3280455831208,12.0,14.272727272727273,12.329530243172934,10.0,13.181818181818182,10.83924247764471
Aston Villa,0.19,0.44925925925925925,0.6767736010827454,0.05,0.07625,0.08550680115334838,16.25,16.820833333333333,4.571364477746857,11.0,21.37037037037037,20.349160156830038,6.0,12.296296296296296,12.427682545321693,10.0,10.962962962962964,8.898925957152537
Bournemouth,0.16,0.5543478260869564,0.6596543591289203,0.065,0.05800000000000001,0.05346912537550107,16.450000000000003,15.765,4.442293741324466,21.0,27.08695652173913,22.797354398897536,10.0,15.73913043478261,14.203768358190109,14.0,17.347826086956523,15.581482878585472
Brentford,0.17,0.31380952380952387,0.373543520763996,0.06,0.08235294117647059,0.08555184186830125,14.9,15.852941176470589,4.31973923504921,24.0,25.952380952380953,21.287264245262218,16.0,15.571428571428571,12.484275824297653,17.0,19.952380952380953,18.334328977293364
Brighton,0.27,0.3334615384615385,0.31292097798252266,0.055,0.08125,0.0901839906741382,16.1,17.333333333333332,3.981988433441008,17.0,23.653846153846153,19.093333512390775,11.0,14.384615384615385,11.648439974784342,12.0,14.884615384615385,12.067566193982689
Chelsea,0.315,0.47458333333333336,0.50669413779455,0.08,0.07904761904761906,0.08074061938731718,15.3,15.447619047619046,4.652915112874837,12.5,21.083333333333332,23.89272522841586,9.0,13.208333333333334,14.79417972120078,9.0,12.666666666666666,13.288329847837446
Crystal Palace,0.34,0.49666666666666665,0.46675832433212516,0.0,0.06190476190476191,0.08570992052376712,17.7,18.142857142857142,5.672792207420559,21.0,32.61904761904762,29.189854728100634,14.0,19.142857142857142,18.12259836305411,19.0,20.476190476190474,17.704855400762376
Everton,0.21,0.3357142857142857,0.35747127756746316,0.05,0.081,0.10676585300750917,17.05,17.115000000000002,5.393199909437614,27.0,30.952380952380953,28.468361720471712,14.0,18.19047619047619,17.177366060077567,14.0,16.476190476190474,14.333942401234378
Fulham,0.265,0.5345,0.6209794894485562,0.06,0.07842105263157895,0.09593187153708713,15.4,16.510526315789477,4.531236615225241,24.0,28.3,22.489997776789576,12.0,17.15,14.640516959523843,14.0,14.45,10.850539642170604
Ipswich Town,0.07,0.2679310344827586,0.36127135933241605,0.06,0.0647826086956522,0.06940458232300538,15.9,16.6,5.352569476429054,12.0,18.03448275862069,16.332445269245703,8.0,10.172413793103448,9.18488263210354,8.0,13.413793103448276,14.206430237695962
Leicester City,0.21,0.26280000000000003,0.2671379169392969,0.0,0.05285714285714285,0.07149425551349263,17.0,17.904761904761905,5.961080119447833,21.0,25.44,22.386900931869363,11.0,14.92,13.431678971744374,15.0,17.36,13.963881981741324
Liverpool,0.35,0.510952380952381,0.46104126455128464,0.08,0.07333333333333335,0.06816933932149712,14.85,15.355555555555554,3.938978999125986,24.0,27.142857142857142,22.77780874949501,15.0,16.666666666666668,14.11854572303158,9.0,14.80952380952381,14.316490658045522
Manchester City,0.33,0.46880000000000005,0.5252802426641738,0.10500000000000001,0.13636363636363635,0.21346451594375015,17.9,17.03181818181818,4.809750648287424,15.0,17.68,16.074617673006514,7.0,10.8,10.432321569685882,11.0,12.04,9.230745726465802
Manchester Utd,0.21000000000000002,0.3873076923076923,0.4634182360875126,0.02,0.054090909090909085,0.06828923717116712,16.05,16.172727272727272,6.04602835541307,20.0,27.46153846153846,27.577136572502624,9.5,16.46153846153846,16.750476457058216,9.0,12.538461538461538,10.819355874471526
Newcastle Utd,0.28,0.371304347826087,0.416972904589801,0.05,0.08714285714285715,0.10863438024598186,14.7,15.619047619047619,3.682203015535544,22.0,23.82608695652174,21.35554467901836,14.0,14.565217391304348,13.34447821438625,17.0,16.73913043478261,13.938884105931045
Nott'ham Forest,0.32,0.4466666666666666,0.4390823764777326,0.06,0.08578947368421054,0.08687895727029801,18.9,18.668421052631576,6.068411162329701,21.0,28.904761904761905,24.917673972312826,13.0,17.61904761904762,15.496697036711375,11.0,18.047619047619047,17.729851072347422
Southampton,0.15,0.2179310344827586,0.2848104546428934,0.05,0.0712,0.09688137075826293,18.3,17.344,6.026060072717496,13.0,20.0,18.890662848538238,7.0,11.517241379310345,10.81209867844871,7.0,12.96551724137931,14.536856504909684
Tottenham,0.3,0.4248148148148148,0.4321446550045515,0.055,0.07416666666666667,0.08657324954182952,16.85,16.183333333333334,4.998840445253425,13.0,21.88888888888889,20.239590550231636,9.0,13.962962962962964,13.715464268990683,15.0,13.851851851851851,11.498172776923177
West Ham,0.23,0.3904000000000001,0.4125376750471808,0.0,0.04782608695652174,0.06459359113573325,16.7,17.717391304347824,5.611809963567341,17.0,22.52,19.92929167498601,11.0,13.28,11.759818592705132,14.0,16.36,13.281817144753449
Wolves,0.23,0.36,0.4134774919673819,0.07,0.09904761904761905,0.1181060862912984,18.1,18.11904761904762,5.738259234961335,19.0,30.869565217391305,27.008928402266076,12.0,18.130434782608695,16.799091825631763,15.0,17.47826086956522,12.354129104427141
All players,0.23,0.39530271398747396,0.45452842615275824,0.06,0.07884976525821596,0.0998179093323146,16.3,16.74037558685446,5.102770998056115,17.0,24.59498956158664,22.271969924078427,10.0,14.684759916492693,13.679184224999902,12.0,15.127348643006263,13.488972075061618
