player_name,transfer_value
Aaron Ramsdale,16.00
Aaron Wan-Bissaka,22.00
Abdoulaye Doucouré,8.00
Adam Armstrong,14.00
Adam Smith,1.00
Adam Wharton,35.00
Adama Traoré,10.00
Alejandro Garnacho,45.00
Alex Iwobi,25.00
Alexander Isak,100.00
Alexis Mac Allister,90.00
Alisson,25.00
Alphonse Areola,10.00
Amad Diallo,40.00
Amadou Onana,55.00
Andreas Pereira,€20.00m
Andrew Robertson,€20.00m
André,N/a
André Onana,32.00
Anthony Elanga,35.00
Anthony Gordon,65.00
Antoine Semenyo,35.00
Antonee Robinson,35.00
Archie Gray,35.00
Arijanet Muric,6.00
Ashley Young,500
Axel Tuanzebe,€5.00m
Bart Verbruggen,25.00
Ben Davies,8.00
Ben Johnson,€9.00m
Bernardo Silva,45.00
Bernd Leno,11.00
Beto,N/a
Bilal El Khannouss,30.00
Boubacar Kamara,38.00
Boubakary Soumaré,€14.00m
Brennan Johnson,50.00
Bruno Fernandes,55.00
Bruno Guimarães,€80.00m
Bryan Mbeumo,50.00
Bukayo Saka,€150.00m
Caleb Okoli,12.00
Callum Hudson-Odoi,24.00
Calvin Bassey,25.00
Cameron Archer,14.00
Cameron Burgess,2.50
Carlos Baleba,35.00
Carlos Soler,20.00
Casemiro,€12.00m
Chris Richards,12.00
Chris Wood,10.00
Christian Eriksen,6.00
Christian Nørgaard,12.00
Christopher Nkunku,€45.00m
Cody Gakpo,70.00
Cole Palmer,130.00
Conor Coady,€3.00m
Craig Dawson,2.00
Cristian Romero,55.00
Curtis Jones,€50.00m
Daichi Kamada,15.00
Dan Burn,7.00
Dango Ouattara,25.00
Daniel Muñoz,25.00
Danny Welbeck,5.00
Dara O'Shea,14.00
Darwin Núñez,€50.00m
David Raya,€40.00m
Dean Henderson,15.00
Dean Huijsen,42.00
Declan Rice,110.00
Dejan Kulusevski,60.00
Destiny Udogie,€45.00m
Diogo Dalot,35.00
Diogo Jota,45.00
Djed Spence,15.00
Dominic Calvert-Lewin,20.00
Dominic Solanke,45.00
Dominik Szoboszlai,80.00
Dwight McNeil,25.00
Eberechi Eze,55.00
Ederson,25.00
Edson Álvarez,30.00
Elliot Anderson,30.00
Emerson Palmieri,€12.00m
Emile Smith Rowe,32.00
Emiliano Martínez,25.00
Emmanuel Agbadou,17.00
Enzo Fernández,75.00
Erling Haaland,200.00
Ethan Pinnock,8.00
Evanilson,35.00
Ezri Konsa,35.00
Fabian Schär,9.00
Facundo Buonanotte,22.00
Flynn Downes,15.00
Gabriel Magalhães,€75.00m
Gabriel Martinelli,€55.00m
Georginio Rutter,32.00
Guglielmo Vicario,35.00
Guido Rodríguez,12.00
Harry Maguire,15.00
Harry Wilson,17.00
Harry Winks,10.00
Harvey Barnes,30.00
Ibrahima Konaté,€60.00m
Idrissa Gana Gueye,€2.00m
Igor,1.00
Iliman Ndiaye,22.00
Illia Zabarnyi,40.00
Ismaila Sarr,22.00
Issa Diop,16.00
Jack Clarke,€15.00m
Jack Harrison,€16.00m
Jack Hinshelwood,€24.00m
Jack Stephens,2.00
Jacob Greaves,20.00
Jacob Murphy,16.00
Jacob Ramsey,32.00
Jadon Sancho,30.00
Jake O'Brien,15.00
James Garner,€20.00m
James Justin,15.00
James Maddison,50.00
