Squad,Median Standard SoT/90,Mean Standard SoT/90,StdDev Standard SoT/90,Median Total Cmp,Mean Total Cmp,StdDev Total Cmp,Median Touches,Mean Touches,StdDev Touches,Median Tackles Tkl,Mean Tackles Tkl,StdDev Tackles Tkl,Median Tackles TklW,Mean Tackles TklW,StdDev Tackles TklW,Median Performance Recov,Mean Performance Recov,StdDev Performance Recov
Arsenal,0.225,0.41090909090909095,0.4100512057560511,459.5,700.4090909090909,551.782622751535,738.5,983.7727272727273,662.5281975539702,19.0,24.09090909090909,20.3280455831208,12.0,14.272727272727273,12.329530243172934,48.0,58.04545454545455,40.02793937658958
Aston Villa,0.19,0.44925925925925925,0.6767736010827454,470.0,489.962962962963,414.9423946564039,674.0,718.6296296296297,558.2959063868542,11.0,21.37037037037037,20.349160156830038,6.0,12.296296296296296,12.427682545321693,39.0,46.370370370370374,35.55293793783287
Bournemouth,0.16,0.5543478260869564,0.6596543591289203,415.0,478.7391304347826,387.9912390518988,778.0,809.2173913043479,595.094641558019,21.0,27.08695652173913,22.797354398897536,10.0,15.73913043478261,14.203768358190109,55.0,69.91304347826087,55.65389232771861
Brentford,0.17,0.31380952380952387,0.373543520763996,471.0,553.8571428571429,426.45073404958345,762.0,889.047619047619,639.2070459710591,24.0,25.952380952380953,21.287264245262218,16.0,15.571428571428571,12.484275824297653,50.0,67.33333333333333,53.943797913507474
Brighton,0.27,0.3334615384615385,0.31292097798252266,390.5,539.5,477.7837376889255,638.0,804.5,607.9542910449765,17.0,23.653846153846153,19.093333512390775,11.0,14.384615384615385,11.648439974784342,47.0,55.15384615384615,43.764544835007534
Chelsea,0.315,0.47458333333333336,0.50669413779455,512.0,656.2083333333334,594.4997150814154,798.0,915.25,770.5290813573433,12.5,21.083333333333332,23.89272522841586,9.0,13.208333333333334,14.79417972120078,42.5,56.833333333333336,50.5402694945299
Crystal Palace,0.34,0.49666666666666665,0.46675832433212516,511.0,504.3809523809524,382.23441448808296,827.0,860.8571428571429,604.1603500490813,21.0,32.61904761904762,29.189854728100634,14.0,19.142857142857142,18.12259836305411,60.0,70.85714285714286,52.539780846788574
Everton,0.21,0.3357142857142857,0.35747127756746316,434.0,467.76190476190476,331.1141653209516,734.0,804.8571428571429,500.34790753177793,27.0,30.952380952380953,28.468361720471712,14.0,18.19047619047619,17.177366060077567,60.0,63.76190476190476,47.010535799865934
Fulham,0.265,0.5345,0.6209794894485562,643.0,644.0,476.56136734119065,950.0,954.85,646.3386984839254,24.0,28.3,22.489997776789576,12.0,17.15,14.640516959523843,58.0,65.85,44.65337259614918
Ipswich Town,0.07,0.2679310344827586,0.36127135933241605,208.0,344.62068965517244,304.626400435623,433.0,575.4137931034483,459.96463507235137,12.0,18.03448275862069,16.332445269245703,8.0,10.172413793103448,9.18488263210354,37.0,43.724137931034484,35.758012640250236
Leicester City,0.21,0.26280000000000003,0.2671379169392969,430.0,489.84,367.68993731131667,804.0,757.56,522.2739606758123,21.0,25.44,22.386900931869363,11.0,14.92,13.431678971744374,38.0,50.36,37.3674100431557
Liverpool,0.35,0.510952380952381,0.46104126455128464,590.0,756.0952380952381,609.8724378722083,758.0,1070.5238095238096,788.2621149749377,24.0,27.142857142857142,22.77780874949501,15.0,16.666666666666668,14.11854572303158,58.0,66.71428571428571,47.20184621086643
Manchester City,0.33,0.46880000000000005,0.5252802426641738,676.0,767.72,566.6331499891854,878.0,1000.36,670.0436478319901,15.0,17.68,16.074617673006514,7.0,10.8,10.432321569685882,46.0,51.72,34.71253375943623
Manchester Utd,0.21000000000000002,0.3873076923076923,0.4634182360875126,561.0,551.8076923076923,460.2912138401748,767.5,812.4615384615385,650.8429138137238,20.0,27.46153846153846,27.577136572502624,9.5,16.46153846153846,16.750476457058216,43.5,57.07692307692308,50.862106190698064
Newcastle Utd,0.28,0.371304347826087,0.416972904589801,459.0,599.4347826086956,511.82923520243065,747.0,898.1304347826087,713.8810255057037,22.0,23.82608695652174,21.35554467901836,14.0,14.565217391304348,13.34447821438625,46.0,65.0,57.43929601999599
Nott'ham Forest,0.32,0.4466666666666666,0.4390823764777326,426.0,425.5238095238095,320.3083856297894,900.0,760.1904761904761,527.4501511088625,21.0,28.904761904761905,24.917673972312826,13.0,17.61904761904762,15.496697036711375,50.0,63.904761904761905,50.94399352416805
Southampton,0.15,0.2179310344827586,0.2848104546428934,242.0,485.48275862068965,464.81552567271666,457.0,707.0,616.1692137716717,13.0,20.0,18.890662848538238,7.0,11.517241379310345,10.81209867844871,23.0,45.03448275862069,42.99375599069232
Tottenham,0.3,0.4248148148148148,0.4321446550045515,681.0,560.925925925926,367.00041143614806,862.0,811.2962962962963,510.7239066579014,13.0,21.88888888888889,20.239590550231636,9.0,13.962962962962964,13.715464268990683,56.0,54.7037037037037,40.287252054001875
West Ham,0.23,0.3904000000000001,0.4125376750471808,510.0,519.0,397.9965452111362,656.0,806.28,580.7710765295852,17.0,22.52,19.92929167498601,11.0,13.28,11.759818592705132,43.0,55.52,46.68789993135266
Wolves,0.23,0.36,0.4134774919673819,484.0,548.695652173913,399.8346743323032,724.0,852.0869565217391,555.8875714520534,19.0,30.869565217391305,27.008928402266076,12.0,18.130434782608695,16.799091825631763,43.0,64.17391304347827,49.3398715533511
All players,0.23,0.39530271398747396,0.45452842615275824,452.0,550.2108559498956,451.2267001681785,738.0,831.5490605427975,610.034700633619,17.0,24.59498956158664,22.271969924078427,10.0,14.684759916492693,13.679184224999902,45.0,57.791231732776616,45.76091047106414
